fold, time, best_epoch, best_accuracy, best_validation_f1, best_test_f1
1,24098.63392019272,1072,0.9038413326276498,0.9054351379064645,0.9058473138356791
2,31903.68611240387,1436,0.9126365054602185,0.9137908683395233,0.9137353085579931
3,17252.27760863304,753,0.901014097063576,0.9026286712929256,0.9007608417194383
4,27596.79084587097,1228,0.9088300036222798,0.9101486201381892,0.9079739645480737
5,14482.468888521194,623,0.8945857831526737,0.8965609827339944,0.8968041135597646
