fold, time, best_epoch, best_accuracy, best_validation_f1, best_test_f1
1,2573.897844314575,160,0.9235888022028453,0.923409773302383,0.92461353013446
2,2660.7449312210083,168,0.9214876033057852,0.9201250833840757,0.9181187407168412
3,2631.293961763382,166,0.9297036526533425,0.9288450039848338,0.9214445421244891
4,2592.7694096565247,162,0.9133333333333333,0.9113643241267221,0.9087220058018097
5,4632.51084446907,331,0.920883164673413,0.9199627650230082,0.9212684256107766
