fold, time, best_epoch, best_accuracy, best_validation_f1, best_test_f1
1,6354.450575351715,245,0.9929156967918227,0.9929169959775093,0.9914208498464651
2,5109.194942235947,187,0.9932193097864589,0.9932203000711312,0.9913345428981263
3,4592.944953203201,162,0.9938265357757312,0.9938260346808326,0.9910936877972629
4,3511.0402104854584,112,0.9931181054549135,0.9931188469147166,0.9900359475095281
5,3331.3041603565216,104,0.9914979757085021,0.991496513426473,0.9901208783937715
