fold, time, best_epoch, best_accuracy, best_validation_f1, best_test_f1
1,383.7539508342743,260,0.9767096134786918,0.9767269637099363,0.9746556125430896
2,358.79885363578796,239,0.9707486365889936,0.9708083688386911,0.9702096223030197
3,331.6819167137146,217,0.9722359940505702,0.9722959767480274,0.968264361415689
4,482.77901816368103,339,0.9746898263027295,0.9746594291042131,0.9753834664666468
5,555.8679990768433,399,0.9806259314456036,0.9805912368141516,0.9681851196856252
