fold, time, best_epoch, best_accuracy, best_validation_f1, best_test_f1
1,7554.340929031372,261,0.9502937070305297,0.9502940783969736,0.9478458786046932
2,6079.161262750626,201,0.952845100105374,0.952853676972087,0.9533004354920821
3,7494.610879182816,258,0.953345626975764,0.9533593518668636,0.9528500032162536
4,12305.66084241867,430,0.9533443979030006,0.953338629062339,0.9525345423944332
5,15468.248691797256,622,0.9519732335739501,0.9519620189632225,0.952140031643744
