fold, time, best_epoch, best_accuracy, best_validation_f1, best_test_f1
1,972.0897512435913,64,0.9543223858059645,0.9543209235112943,0.4402344183840757
2,1039.0684552192688,69,0.8718045112781955,0.8719065617738275,0.5085524086348876
3,726.7289509773254,45,0.9479245283018868,0.9479325140378639,0.4635185186061413
4,1158.3031830787659,78,0.8833709556057185,0.8841084536556776,0.42460607600508965
5,194.9591600894928,4,0.6568959037955656,0.6485326272945918,0.5753845690935309
6,259.8945834636688,9,0.6483433734939759,0.640694448164752,0.4097205970656223
7,663.8963134288788,40,0.9552799699361142,0.9553331895363782,0.42615556436491875
8,937.6628227233887,61,0.9527204502814259,0.9525860525646421,0.4109533096242893
9,247.20558500289917,8,0.7709350356740519,0.7702027828521171,0.41283296020959487
10,978.1686186790466,64,0.9429000751314801,0.942661150839264,0.5049240909412559
11,937.3119778633118,61,0.948438088069251,0.9484794657501688,0.524313234474036
12,1016.54825258255,67,0.9574387947269303,0.9574554278988214,0.7468977572668154
13,1651.853458404541,116,0.9668425018839487,0.9668161969113487,0.490373787355217
14,1872.44118475914,133,0.9627259036144579,0.9627283290348191,0.5013487987686537
15,1508.6111896038055,105,0.9411986430456087,0.941138019811479,0.3757412212830169
16,820.0200839042664,52,0.9588057445200302,0.9588710132503492,0.3382952848703181
17,1221.5526177883148,83,0.9515518546555639,0.9515832099181452,0.4020266214941996
18,402.807758808136,20,0.7963663890991673,0.7966073595735135,0.5093632421218628
19,1001.4128789901733,66,0.9569160997732427,0.956943284237237,0.6429839642966227
20,936.018176317215,61,0.9516250944822373,0.9517068301052328,0.4437258353815537
21,1127.538732767105,76,0.9608811241929358,0.9607901040735538,0.41170468123033394
22,964.4753813743591,63,0.9563253012048193,0.9562996397520004,0.5087427705195587
23,1040.3541572093964,69,0.9474082482027999,0.9473775348454152,0.4695780107715244
24,883.4153070449829,57,0.9583175445244411,0.9582810100535663,0.4908099736501402
25,661.4084746837616,40,0.9510250569476082,0.9510169034974801,0.4978968189982795
26,869.5256927013397,56,0.9560106181266591,0.9559412553712272,0.43968582815211105
27,921.922869682312,60,0.9534090909090909,0.9534335130547028,0.5956647215058896
28,1024.371742963791,68,0.9583333333333334,0.9582936215037424,0.4057231952558553
29,324.29650926589966,14,0.7249056603773585,0.7257185391992131,0.5324271169696028
30,865.9413192272186,56,0.9571645185746778,0.957152905636932,0.5556517808528132
