fold, time, best_epoch, best_accuracy, best_validation_f1, best_test_f1
1,363.568562746048,40,0.8437146092865232,0.843805205507684,0.4353206587861445
2,93.31493806838989,2,0.38834586466165416,0.26493190509701636,0.22755414227554144
3,659.7145159244537,81,0.94,0.9399501210749392,0.24801169312779855
4,374.00240540504456,41,0.9337848006019563,0.9337522280310937,0.3096313874135006
5,115.00780415534973,5,0.6982337467117625,0.6688826262755575,0.3607178591912231
6,150.32549691200256,10,0.39231927710843373,0.3031941320391948,0.3164769656572935
7,86.04372930526733,1,0.4235249906050357,0.33617101218909473,0.2274124117778462
8,85.83291816711426,1,0.19399624765478424,0.06376238442090858,0.06648678447213063
9,317.3416075706482,33,0.9391663537363876,0.9392161136150214,0.4846466921414874
10,158.26287388801575,11,0.39744552967693464,0.27814294140686047,0.24731096376665995
11,710.2386736869812,88,0.9495671810312383,0.9495927241130274,0.5170937520749785
12,409.36641788482666,46,0.9427495291902072,0.9424796994510559,0.3297307865117416
13,724.0694925785065,90,0.9585531273549359,0.9585029419895095,0.4909555409926802
14,487.9346115589142,57,0.9487951807228916,0.9488238972654364,0.257790210709629
15,99.94401216506958,3,0.36863927629099136,0.2527085420057034,0.27570884468895474
16,85.55514931678772,1,0.3707482993197279,0.24931219122674983,0.21782354538695445
17,121.11894941329956,6,0.3504920514761544,0.24369982288797698,0.28680033150580136
18,821.8183960914612,104,0.9560938682816048,0.9560827223291981,0.4924923404654457
19,85.48758435249329,1,0.20105820105820105,0.06731464000186467,0.0708447670472987
20,128.54876899719238,7,0.5491307634164777,0.4778517671785244,0.3690583670706347
21,120.67008185386658,6,0.3687808583364983,0.2560560610250845,0.31627393970466217
22,523.4466979503632,62,0.9439006024096386,0.9439383463171307,0.3972753097516428
23,350.53941798210144,38,0.9500567536889898,0.9500914637406,0.35178502803477657
24,171.17671155929565,13,0.7589996210685865,0.7546792580073082,0.25335703141514326
25,206.28728342056274,18,0.6810933940774487,0.660714466055428,0.4023766274796443
26,699.1196460723877,87,0.9378081152825181,0.9376703358125135,0.5460481628159711
27,571.2883780002594,69,0.940530303030303,0.9405358863123273,0.408841275355988
28,600.1930689811707,73,0.9435606060606061,0.943528176911548,0.3739669910984188
29,257.5748019218445,25,0.4611320754716981,0.343284537895738,0.36342030378215834
30,421.43773198127747,48,0.9476876421531463,0.947668813738082,0.33530422545152955
