fold, time, best_epoch, best_accuracy, best_validation_f1, best_test_f1
1,67.39165878295898,49,0.965269913174783,0.9652415049191309,0.32626847128430575
2,67.2413341999054,48,0.9699248120300752,0.9698160289981084,0.3382709212479689
3,79.4513669013977,59,0.9652830188679246,0.9652690330666261,0.30775242015580934
4,51.725406885147095,34,0.964635063957863,0.9646091252871135,0.32516007181179496
5,78.22965550422668,57,0.9646749342352499,0.9645159289851502,0.3655729184712934
6,53.591490745544434,36,0.9713855421686747,0.9713578839836619,0.3240114764797983
7,78.89481163024902,58,0.9714393085306275,0.9714120571553037,0.29375011543987517
8,67.51100087165833,52,0.9684803001876172,0.9684670832764475,0.4293590691717763
9,64.36854553222656,45,0.9639504318437851,0.9639802489365981,0.36967639785548073
10,83.02418994903564,61,0.9688204357625845,0.9687750035839724,0.33874131167473825
11,87.81499290466309,66,0.9721490402709823,0.9721339510606665,0.3701425116154857
12,60.640106439590454,42,0.9728813559322034,0.9728790816530993,0.3441362126245847
13,79.03962445259094,58,0.9732479276563677,0.9731624458862258,0.356825572205199
14,79.7974693775177,59,0.9717620481927711,0.9716653912309088,0.3210185954033695
15,92.08432960510254,70,0.9724839803995476,0.9724594013479,0.3592937923448338
16,46.35926008224487,30,0.9629629629629629,0.9628819303812647,0.3253515601703835
17,71.95338344573975,53,0.9678274034822104,0.9677650707768971,0.2926187722941642
18,57.33326029777527,40,0.9647993943981832,0.9647692364155742,0.3536845749899013
19,59.90114450454712,42,0.971655328798186,0.9715921169550317,0.2897897079484647
20,67.70215225219727,49,0.9712773998488284,0.9712843230005443,0.3288984411032653
21,80.23419237136841,62,0.9718951766046335,0.9718272368893167,0.29002599969877246
22,45.899595975875854,29,0.9631024096385542,0.96304891568443,0.3410900574835001
23,76.47527527809143,57,0.9708664396519107,0.9708048311796423,0.33898941490471274
24,63.768961668014526,46,0.9677908298597954,0.9676866099636007,0.3525190275613116
25,74.84675192832947,57,0.9700075930144267,0.969940691053207,0.32894324965085786
26,40.12656331062317,25,0.963215775502465,0.9631859920660103,0.30826117575455225
27,60.402045488357544,43,0.968560606060606,0.9685173808479544,0.3999692524384874
28,71.19061923027039,53,0.9704545454545455,0.970404444768796,0.33263676991832336
29,69.10667109489441,50,0.9724528301886792,0.9723378006062734,0.36237904334466253
30,114.78188276290894,92,0.9799090219863533,0.9798992022661089,0.40434098347993164
